100	0.004023
200	0.001247
300	0.000870
400	0.001230
500	0.001701
600	0.001756
700	0.002372
800	0.002446
900	0.002746
1000	0.003114
1100	0.003426
1200	0.004203
1300	0.004068
1400	0.004369
1500	0.005105
1600	0.004912
1700	0.005286
1800	0.005645
1900	0.005862
2000	0.006230
2100	0.006536
2200	0.006953
2300	0.007323
2400	0.007556
2500	0.007766
2600	0.008076
2700	0.008311
2800	0.008580
2900	0.008914
3000	0.009191
3100	0.009531
3200	0.009819
3300	0.010146
3400	0.010453
3500	0.010757
3600	0.011100
3700	0.011402
3800	0.011676
3900	0.012022
4000	0.012320
4100	0.012718
4200	0.013082
4300	0.013829
4400	0.014001
4500	0.013834
4600	0.014193
4700	0.014478
4800	0.014848
4900	0.015062
5000	0.015431
5100	0.015768
5200	0.016067
5300	0.016376
5400	0.017176
5500	0.017608
5600	0.017936
5700	0.018288
5800	0.018476
5900	0.018880
6000	0.019133
6100	0.019520
6200	0.019696
6300	0.019597
6400	0.020210
6500	0.019949
6600	0.020384
6700	0.020730
6800	0.021030
6900	0.021552
7000	0.021628
7100	0.022035
7200	0.022359
7300	0.022362
7400	0.022907
7500	0.022981
7600	0.023569
7700	0.023884
7800	0.024048
7900	0.024684
8000	0.025599
8100	0.025073
8200	0.025291
8300	0.025723
8400	0.026726
8500	0.027342
8600	0.027657
8700	0.028025
8800	0.028715
8900	0.028590
9000	0.028947
9100	0.028226
9200	0.028396
9300	0.028972
9400	0.030213
9500	0.030627
9600	0.029695
9700	0.030071
9800	0.031453
9900	0.030802
10000	0.031244
10100	0.030899
10200	0.031645
10300	0.031953
10400	0.032743
10500	0.033863
10600	0.034175
10700	0.034732
10800	0.034252
10900	0.034963
11000	0.034677
11100	0.034305
11200	0.034403
11300	0.034999
11400	0.035386
11500	0.036234
11600	0.037390
11700	0.037031
11800	0.036670
11900	0.037207
12000	0.037766
12100	0.038697
12200	0.037816
12300	0.038284
12400	0.038872
12500	0.038959
12600	0.039384
12700	0.039643
12800	0.041165
12900	0.041589
13000	0.041440
13100	0.041710
13200	0.041051
13300	0.041432
13400	0.043408
13500	0.044096
13600	0.042451
13700	0.043429
13800	0.043979
13900	0.044914
14000	0.043588
14100	0.043885
14200	0.044677
14300	0.045410
14400	0.045750
14500	0.045111
14600	0.045812
14700	0.047572
14800	0.046050
14900	0.046370
15000	0.046455
15100	0.047035
15200	0.046852
15300	0.047617
15400	0.048285
15500	0.047771
15600	0.048524
15700	0.048232
15800	0.049219
15900	0.051156
16000	0.049978
16100	0.050043
16200	0.051040
16300	0.050784
16400	0.052701
16500	0.051228
16600	0.051308
16700	0.051722
16800	0.053056
16900	0.053042
17000	0.053090
17100	0.053129
17200	0.053651
17300	0.055810
17400	0.053913
17500	0.054398
17600	0.054783
17700	0.056279
17800	0.055302
17900	0.055491
18000	0.056112
18100	0.056329
18200	0.056485
18300	0.057076
18400	0.057112
18500	0.057440
18600	0.058386
18700	0.057809
18800	0.058406
18900	0.058631
19000	0.059267
19100	0.060010
19200	0.059774
19300	0.059680
19400	0.060001
19500	0.060583
19600	0.061067
19700	0.061271
19800	0.061468
19900	0.061686
20000	0.062211
20100	0.062729
20200	0.062459
20300	0.063404
20400	0.063334
20500	0.063441
20600	0.063939
20700	0.064444
20800	0.064666
20900	0.065604
21000	0.065076
21100	0.065468
21200	0.065584
21300	0.065951
21400	0.066626
21500	0.067085
21600	0.066974
21700	0.067379
21800	0.067853
21900	0.067747
22000	0.068383
22100	0.068675
22200	0.070341
22300	0.071126
22400	0.069370
22500	0.069787
22600	0.070200
22700	0.070081
22800	0.070622
22900	0.070979
23000	0.071324
23100	0.071560
23200	0.072027
23300	0.072404
23400	0.072360
23500	0.072838
23600	0.073733
23700	0.074677
23800	0.073994
23900	0.073976
24000	0.074347
24100	0.074971
24200	0.075519
24300	0.075169
24400	0.075545
24500	0.075921
24600	0.076201
24700	0.077003
24800	0.077008
24900	0.077111
25000	0.077477
25100	0.077644
25200	0.077948
25300	0.078294
25400	0.079663
25500	0.078836
25600	0.079319
25700	0.079824
25800	0.079725
25900	0.079978
26000	0.080771
26100	0.081062
26200	0.081840
26300	0.082052
26400	0.081575
26500	0.083145
26600	0.082376
26700	0.083774
26800	0.083435
26900	0.083308
27000	0.084283
27100	0.084471
27200	0.085389
27300	0.084770
27400	0.084897
27500	0.085010
27600	0.085586
27700	0.085596
27800	0.086231
27900	0.086875
28000	0.087577
28100	0.087075
28200	0.088370
28300	0.088119
28400	0.088740
28500	0.088792
28600	0.089090
28700	0.089896
28800	0.089299
28900	0.090321
29000	0.089878
29100	0.090003
29200	0.090165
29300	0.091730
29400	0.091015
29500	0.092109
29600	0.091878
29700	0.092572
29800	0.092474
29900	0.093768
30000	0.092920
30100	0.093904
30200	0.094350
30300	0.094028
30400	0.094616
30500	0.096349
30600	0.095400
30700	0.095418
30800	0.095498
30900	0.095986
31000	0.096627
31100	0.096896
31200	0.099915
31300	0.098341
31400	0.097880
31500	0.098415
31600	0.099257
31700	0.098341
31800	0.098529
31900	0.098765
32000	0.099454
32100	0.100061
32200	0.100362
32300	0.100062
32400	0.100539
32500	0.100776
32600	0.100794
32700	0.102019
32800	0.101989
32900	0.102423
33000	0.102382
33100	0.102695
33200	0.103555
33300	0.104416
33400	0.103643
33500	0.104106
33600	0.104574
33700	0.104700
33800	0.105252
33900	0.106124
34000	0.105953
34100	0.106179
34200	0.106563
34300	0.106836
34400	0.107295
34500	0.108152
34600	0.109573
34700	0.109482
34800	0.108319
34900	0.108423
35000	0.109055
35100	0.109377
